CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,S3P1,S3P1_2,S3P2,S3P2_ES,S3P3,S3P4_1,S3P4_2,S3P4_3,S3P4_4,S3P4_5,S3P4_6,S3P4_7,S3P5,S3P5_ES,S3P6,S3P7,S3P7_1_1,S3P7_1_2,S3P7_1_3,S3P7_1_4,S3P7_1_5,S3P7_2_1,S3P7_2_2,S3P7_2_3,S3P7_2_4,S3P7_2_5,S3P8,S3P9,S3P10,S3P11_ES,S3P12_C,S3P12_ES,S3P13_ES,S3P14_C,S3P14_ES,S3P15,S4P1_1,S4P1_2,S4P1_3,S4P1_4,S4P1_5,S4P1_6,S4P1_7,S4P1_8,S4P1_1_1A,S4P1_1_2A,S4P1_1_3A,S4P1_1_4A,S4P1_1_5A,S4P1_1_6A,S4P1_1_7A,S4P1_1_8A,S4P1_1_ESA,S4P1_1_1B,S4P1_1_2B,S4P1_1_3B,S4P1_1_4B,S4P1_1_5B,S4P1_1_6B,S4P1_1_7B,S4P1_1_8B,S4P1_1_ESB,S4P1_1_1C,S4P1_1_2C,S4P1_1_3C,S4P1_1_4C,S4P1_1_5C,S4P1_1_6C,S4P1_1_7C,S4P1_1_8C,S4P1_1_ESC,S4P1_2_1,S4P1_2_2,S4P1_2_3,S4P1_2_4,S4P1_2_5,S4P1_2_6,S4P1_2_7,S4P2_1,S4P2_2,S4P2_3,S4P2_4,S4P2_5,S4P2_6,S4P2_7,S4P2_8,S4P3_1,S4P3_2,S4P3_3,S4P3_4,S4P3_5,S4P3_6,S4P3_7,S4P3_8,S4P3_9,S4P4,S4P4_1,S4P4_2,S4P4_3,S4P4_4,S4P5,S4P5_1,S4P5_2,S4P5_3,S4P5_4,S4P6,S4P6_1,S4P6_2,S4P6_3,S4P6_4,S4P6_5,S4P7,S4P7_1,S4P7_2,S4P7_3,S4P7_4,S4P7_5,S4P8,S4P8_1_1,S4P8_1_2,S4P8_1_ES,S4P9,S4P10,S4P10_1,S4P11_1,S4P11_2,S4P11_3,S4P11_4,S4P11_5,S4P11_6,S4P11_7,S4P11_8,S4P11_9,S4P11_10,S4P11_11,S4P11_12,S4P11_13,S4P11_14,S4P11_15,S4P11_16,S4P11_17,S4P11_ES,S4P12_1,S4P12_2,S4P12_3,S4P12_4,S4P12_5,S4P12_6,S4P12_7,S4P12_8,S4P12_9,S4P12_10,S4P12_1_1,S4P12_1_2,S4P12_1_3,S4P12_1_4,S4P12_1_5,S4P12_1_6,S4P12_1_7,S4P12_1_8,S4P12_1_9,S4P12_1_10,S4P12_1_ES,S4P12_2_1,S4P12_2_2,S4P12_2_3,S4P12_2_4,S4P12_2_5,S4P12_2_6,S4P12_2_7,S4P12_2_8,S4P12_2_ES,S4P13_1,S4P13_2,S4P13_3,S4P14_1,S4P14_2,S4P14_3,S4P14_4,S4P14_5,S4P14_6,S4P14_7,S4P14_8,S4P14_9,S4P14_10,S4P14_11,S4P14_12,S4P14_13,S4P14_14,S4P14_15,S4P14_16,S4P14_17,S4P15_1,S4P15_2,S4P15_3,S4P15_4,S4P15_5,S4P15_6,S4P15_7,S4P15_8,S4P15_9,S4P15_10,S4P15_11,S4P15_12,S4P15_13,S4P15_14,S4P15_15,S4P16_1,S4P16_2,S4P16_3,S4P16_4,S4P16_5,S4P16_6,S4P16_7,S4P17_1,S4P17_2,S4P17_3,S4P17_4,S4P17_5,S4P17_6,S4P17_7,S4P17_8,S4P17_9,S4P17_10,S4P17_11,S4P17_12,S4P17_13,S4P17_14,FAC
ww,1117,	01,40018,3,1,	01,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,"SURTIR MERCANCIA, REALIZAR INVENTARIO Y ACOMODAR",42,ENCARADO DE TIENDA DE ROPA,ROPA Y CALZADO ZONA OUTLET,46,VENTA Y COMPRA DE ROPA Y CALZADO PARA CABALLERO EN UN LOCAL,2,2,1,2,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,3,4,2,2,5,3,2,4,6,1,,,,5,1,,4,,,,,,,6,36,12,18,6,,,,,,,,1,2,,,1,1,12,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,1,3,3,3,3,3,5,7,7,10,10,10,7,3,10,2,5,5,8,8,4,3,4,2,2,4,2,4,4,4,4,4,3,3,2,1,1,1,2,2,1,1,3,1,2,3,2,2,3,3,2,2,2,2,1,2,5072
14,1117,	01,40035,5,1,	03,4,3,,,,,,,,,,,1,,17,2,,,,,,2,2,2,2,2,1,,1,ATENDER AL CLIENTE Y VENDERLE PRODUCTOS ELECTRONICOS,42,ENCARGADA DE TIENDA DE ELECTRONICA,APARTOS ELECTRONICOS ELECTRONICS,46,VENTA Y COMPRA DE APARATOS ELECTRONICOS,1,4,3,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,4,3,2,3,3,3,2,3,3,2,5,4,6,1,,,,10,5,,5,,10,3,,7,,,,,,,,,,,,,,1,1,2,,1,1,80,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,,3,3,2,9,10,9,8,9,7,9,9,9,7,7,9,9,9,9,9,10,3,2,3,2,1,1,2,2,2,4,4,3,2,1,2,1,2,1,2,2,2,3,1,3,1,3,1,1,1,3,3,3,3,3,1,3,10086
14,1117,	01,40035,1,1,	02,3,2,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,,,,,,,,3,4,3,4,4,4,2,4,5,6,3,4,1,2,,,,17,3,,14,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,,1,1,1,11,9,5,8,7,6,10,10,10,10,10,10,10,5,10,10,10,2,2,4,2,2,2,2,2,2,1,4,2,2,2,2,5,1,1,1,1,5,1,3,3,3,3,2,1,1,3,3,3,3,1,1,3,10086
14,1117,	01,40035,2,1,	01,6,2,1800,SECRETARIA ADMINISTRATIVA,1,,,,,,,,,,,,,,,,,,,,,,1,,1,"COBRAR, RECIBIR A PROVEEDORES Y ATENDER A CLIENTES EN UNA TIENDA DE CONVENIENCIA",42,ENCARGADA DE TURNO DE TIENDE DE CONVENIENCIA,OXXO,46,COMPRA Y VENTA DE ARTICULOS PARA EL HOGAR Y ALIMENTOS,2,4,3,3,4,4,3,3,4,,,,,,,,,,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,1,2,,2,2,1,1,2,1,2,4,3,3,3,3,3,3,4,1,4,6,5,3,2,,,,14,3,,11,,12,12,,,,1,4,,2,1,1,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,2,2,2,2,2,2,2,,4,2,2,5,5,9,8,7,7,10,10,9,8,10,10,7,1,10,6,10,2,2,4,4,2,2,2,2,1,3,4,2,2,2,2,5,2,2,2,2,5,5,1,3,1,3,1,1,3,3,3,3,3,1,1,3,6724
14,1117,	01,40035,3,1,	02,6,3,2814,SECRETARIA EJECUTIVA Y CONTADOR PRIVADO,2,,,,,,,,2,,18,2,,,,,,1,1,1,2,2,5,5,,,,,,,,,2,2,2,3,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,3,3,3,3,4,3,3,4,5,3,1,6,2,,,,2,1,1,,,35,21,,14,,2,11,,5,3,3,,,,,,,2,,,,1,1,5,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,2,2,1,2,,1,1,1,8,9,7,7,7,7,9,9,10,9,9,10,10,8,8,9,10,4,4,4,3,1,1,3,3,1,3,3,1,1,1,1,2,2,2,2,2,5,2,1,2,3,3,2,2,3,2,3,3,3,1,2,2,6724
14,1117,	01,40038,2,1,	02,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,5,6,1,3,2,,,,7,1,,6,,21,14,,7,,,,,,,,,,,,,,1,1,9,,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,1,1,2,9,8,8,8,7,7,9,9,9,8,8,10,6,7,8,9,9,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,2,2,8880
14,1117,	01,40038,3,1,	01,2,6,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,HACER EL ASEO EN UNA VIVIENDA,96,EMPLEADA DOMESTICA,CASA PARTICULAR,81,ES EN UNA VIVIENDA PARTICULAR,2,3,4,4,4,4,3,3,4,2,1,1,2,1,2,2,2,,2,2,1,2,2,2,2,2,,2,2,1,2,1,2,2,2,,,,,,,,,3,4,4,4,4,3,3,4,2,3,6,5,1,4,,,,21,2,,19,,14,,,14,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,,5,5,2,9,10,8,9,9,11,9,9,10,9,10,10,9,8,10,9,9,1,1,3,2,2,5,2,2,1,1,3,2,5,5,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,3,3,3,2,3,3,2960
14,1117,	01,40038,4,1,	03,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,CURAR LAS PIEZAS PARA METERLOS AL HORNO,82,OBC ENCARGADO DE HORNOS,SENSATA,33,MANUFACTURA DE CHIPS PARA CARROS,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,,2,1,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,,,,,,,,2,3,3,3,3,3,3,3,2,1,4,5,3,6,,,,14,,,14,,,,,,,,,,,,,,,,,,,2,,,,1,1,7,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,2,2,2,2,1,2,2,2,,5,1,1,10,10,10,8,10,10,10,10,10,10,9,10,10,10,10,10,10,2,2,2,2,2,2,5,2,1,1,1,1,5,5,1,5,5,2,2,4,1,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,8880
14,1117,	01,40038,1,1,	01,4,3,,,,,,,,,,,1,,18,2,,,,,,2,2,2,2,1,3,5,,,,,,,,,2,2,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,1,2,2,3,3,3,3,2,3,2,3,6,5,1,4,,,,3,,,3,,4,1,,3,,,,,,,,,,,,,,2,,,,1,1,6,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,,2,2,2,5,8,7,7,8,7,8,8,9,8,7,9,9,7,8,7,7,2,3,3,2,2,2,2,3,3,2,4,2,2,3,2,2,2,2,2,3,5,3,3,3,2,3,2,2,2,3,3,2,3,2,2,2,2960
14,1117,	01,40050,3,1,	02,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,4,4,4,4,3,4,4,,,,,,,,,1,21,,,21,,7,1,,6,,,,,,,,,,,,,,1,1,,,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,,2,2,2,7,8,7,7,8,7,7,7,7,6,6,8,8,6,6,8,8,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,5,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,4814
14,1117,	01,40050,5,1,	04,4,3,,,,,,,,,,,1,,17,1,1,2,2,1,1,,,,,,4,5,,,,,,,,,3,4,2,1,4,3,2,4,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,ABURRIDOS,1,1,1,2,2,2,1,3,4,3,2,4,3,3,4,6,2,4,5,3,1,,,,5,,,5,,3,1,,2,,,,,,,,1,3,2,1,,,1,1,3,,1,1,18,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,,,,,,,,,,,1,2,1,8,9,9,8,7,7,8,7,7,6,6,6,8,8,8,8,9,2,2,3,2,1,2,1,2,3,3,3,2,3,1,2,1,1,1,3,3,2,1,1,1,2,2,2,2,2,3,3,3,1,1,2,2,12035
