CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_6,Los descubrimientos tecnológicos tarde o temprano destruirán el planeta,Int,1,[1-5],Los descubrimientos tecnológicos tarde o temprano destruirán el planeta
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_7,Los nuevos inventos sirven para contrarrestar las consecuencias dañinas del desarrollo tecnológico,Int,1,[1-5],Los nuevos inventos sirven para contrarrestar las consecuencias dañinas del desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_8,La ciencia y la tecnología ayudarán a erradicar la pobreza y hambruna en el mundo,Int,1,[1-5],La ciencia y la tecnología ayudarán a erradicar la pobreza y hambruna en el mundo
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_9,"En general, la automatización de las fábricas y la computación crearán más empleos de los que se eliminarán",Int,1,[1-5],"En general, la automatización de las fábricas y la computación crearán más empleos de los que se eliminarán"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_10,"Gracias a los avances científicos y tecnológicos, los recursos naturales de la tierra serán inagotables",Int,1,[1-5],"Gracias a los avances científicos y tecnológicos, los recursos naturales de la tierra serán inagotables"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_11,La ciencia y la tecnología pueden resolver todos los problemas,Int,1,[1-5],La ciencia y la tecnología pueden resolver todos los problemas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_12,El consumo frecuente de alimentos genéticamente modificados puede ser dañino para la salud,Int,1,[1-5],El consumo frecuente de alimentos genéticamente modificados puede ser dañino para la salud
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,En cuanto a la ciencia y el desarrollo tecnológico:
S4P23_1,La investigación científica y tecnológica juega un papel fundamental en el desarrollo tecnológico,Int,1,[1-5],La investigación científica y tecnológica juega un papel fundamental en el desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_2,La investigación básica siempre produce desarrollo tecnológico,Int,1,[1-5],La investigación básica siempre produce desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_3,"La investigación básica debe ser apoyada por el Gobierno Federal, aun cuando los beneficios que resulten no sean inmediatos",Int,1,[1-5],"La investigación básica debe ser apoyada por el Gobierno Federal, aun cuando los beneficios que resulten no sean inmediatos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_4,"Sólo con base en la investigación básica, aplicada y el desarrollo tecnológico nuestra economía podrá ser más competitiva",Int,1,[1-5],"Sólo con base en la investigación básica, aplicada y el desarrollo tecnológico nuestra economía podrá ser más competitiva"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_5,La Internet es esencial para el desarrollo de nuevas actividades económicas,Int,1,[1-5],La Internet es esencial para el desarrollo de nuevas actividades económicas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_6,La Internet ayudará a mejorar la calidad de vida de las personas,Int,1,[1-5],La Internet ayudará a mejorar la calidad de vida de las personas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_7,"La investigación básica, aplicada y el desarrollo tecnológico hacen que los productos industriales sean más baratos",Int,1,[1-5],"La investigación básica, aplicada y el desarrollo tecnológico hacen que los productos industriales sean más baratos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_8,Muchos de los desarrollos tecnológicos son útiles o prácticos,Int,1,[1-5],Muchos de los desarrollos tecnológicos son útiles o prácticos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_9,El crecimiento económico de un país está estrechamente relacionado con la cantidad y calidad de su investigación en ciencias básicas,Int,1,[1-5],El crecimiento económico de un país está estrechamente relacionado con la cantidad y calidad de su investigación en ciencias básicas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P23_10,Son mayores los beneficios generados por la investigación científica que los daños asociados a dicha investigación,Int,1,[1-5],Son mayores los beneficios generados por la investigación científica que los daños asociados a dicha investigación
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Respecto al papel del cientí-
fico:"
S4P24_1,"Los científicos son responsables de los malos usos que
hacen otras personas de sus descubrimientos",Int,1,[1-5],Los científicos son responsables de los malos usos que hacen otras personas de sus descubrimientos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_2,"Debido a sus conocimientos, los investigadores científicos tienen un poder que los hacen peligrosos",Int,1,[1-5],"Debido a sus conocimientos, los investigadores científicos tienen un poder que los hacen peligrosos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_3,"Los descubrimientos científicos por sí mismos no son buenos ni malos, lo
importante es el uso
que se les dé",Int,1,[1-5],"Los descubrimientos científicos por sí mismos no son buenos ni malos, lo importante es el uso que se les dé"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_4,"Debe ser permitido a los científicos la investigación que
causa daño y dolor a los animales, como perros y chimpancés, siempre que produzca beneficios a la salud de los seres humanos",Int,1,[1-5],"Debe ser permitido a los científicos la investigación que causa daño y dolor a los
animales, como perros y chimpancés, siempre que produzca beneficios a la salud de los seres humanos"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_5,Las autoridades deberían obligar a los científicos a observar reglas éticas,Int,1,[1-5],Las autoridades deberían obligar a los científicos a observar reglas éticas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P24_6,"Los científicos deben
ser libres de llevar  a cabo sus investigaciones, siempre y
cuando lo hagan bajo reglas éticas",Int,1,[1-5],"Los científicos deben ser libres de llevar a cabo sus investigaciones, siempre y cuando lo hagan bajo reglas éticas"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Sobre el papel de los científicos, las empresas y el gobierno:"
S4P25_1,El gobierno debería invertir más en investigación científica,Int,1,[1-5],"El gobierno debería invertir
más en investigación científica"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_2,Los investigadores de los diferentes países deberían trabajar más en conjunto,Int,1,[1-5],Los investigadores de los diferentes países deberían trabajar más en conjunto
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_3,En México debería haber más gente trabajando en investigación y desarrollo tecnológico,Int,1,[1-5],En México debería haber más gente trabajando en investigación y desarrollo tecnológico
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_4,Los investigadores mexicanos mejor calificados se van a los Estados Unidos o Europa,Int,1,[1-5],Los investigadores mexicanos mejor calificados se van a los Estados Unidos o Europa
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_5,Debería haber mayor coordinación entre los investigadores de las diferentes instituciones del país,Int,1,[1-5],Debería haber mayor coordinación entre los investigadores de las diferentes instituciones del país
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_6,Los científicos y los empresarios deberían cooperar más entre sí,Int,1,[1-5],Los científicos y los empresarios deberían cooperar más entre sí
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_7,Considera que las universidades y las empresas colaboran entre sí,Int,1,[1-5],Considera que las universidades y las empresas colaboran entre sí
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_8,"Las prioridades en la investigación
nacional reflejan más los gustos personales de los científicos mexicanos que las necesidades de la sociedad",Int,1,[1-5],Las prioridades en la investigación nacional reflejan más los gustos personales de los científicos mexicanos que las necesidades de la sociedad
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_9,Los científicos deberían interesarse más en patentar sus investigaciones y en el uso que se les dé,Int,1,[1-5],Los científicos deberían interesarse más en patentar sus investigaciones y en el uso que se les dé
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_10,Los mexicanos deberían estar menos preocupados acerca de las implicaciones éticas relacionadas con la ciencia y las tecnologías modernas,Int,1,[1-5],Los mexicanos deberían estar menos preocupados acerca de las implicaciones éticas relacionadas con la ciencia y las tecnologías modernas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_11,Debería haber más mujeres dedicadas a la investigación científica en nuestro país,Int,1,[1-5],Debería haber más mujeres dedicadas a la investigación científica en nuestro país
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P25_12,El gobierno debe impulsar que las personas participen en debates sobre la asignación de presupuesto para ciencia y tecnologia,Int,1,[1-5],El gobierno debe impulsar que las personas participen en debates sobre la asignación de presupuesto para ciencia y tecnologia
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,En cuanto a la sociedad en general:
S4P26_1,La investigación y el desarrollo tecnológico llevadas a cabo por la industria están bien controladas y reguladas,Int,1,[1-5],La investigación y el desarrollo tecnológico llevadas a cabo por la industria están bien controladas y reguladas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_2,Los funcionarios públicos deben confiar más sus decisiones en las opiniones de científicos expertos,Int,1,[1-5],Los funcionarios públicos deben confiar más sus decisiones en las opiniones de científicos expertos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_3,Para la sociedad en general no es importante estar involucrada en decisiones acerca de ciencia y tecnología,Int,1,[1-5],Para la sociedad en general no es importante estar involucrada en decisiones acerca de ciencia y tecnología
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_4,El público está suficientemente involucrado en decisiones acerca de ciencia y tecnología,Int,1,[1-5],El público está suficientemente involucrado en decisiones acerca de ciencia y tecnología
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_5,Los científicos ponen muy poco esfuerzo por informar al público acerca de sus trabajos científicos o desarrollos tecnológicos,Int,1,[1-5],Los científicos ponen muy poco esfuerzo por informar al público acerca de sus trabajos científicos o desarrollos tecnológicos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"En cuanto a los jóvenes: De las siguientes afirmaciones sobre el interés de los jóvenes en la ciencia, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo."
S4P27_1,Los jóvenes interesados en la ciencia tienen mejores posibilidades de conseguir empleo,Int,1,[1-5],Los jóvenes interesados en la ciencia tienen mejores posibilidades de conseguir empleo
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_2,Los jóvenes interesados en la ciencia tienen mejores posibilidades de conseguir empleo,Int,1,[1-5],Los jóvenes interesados en la ciencia tienen mejores posibilidades de conseguir empleo
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_3,La ciencia prepara  a la generación más joven para actuar como ciudadanos bien informados,Int,1,[1-5],La ciencia prepara a la generación más joven para actuar como ciudadanos bien informados
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_4,El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero,Int,1,[1-5],El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_5,El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero,Int,1,[1-5],El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_6,Las universidades  en México deberían estar más dispuestas a recibir estudiantes extranjeros,Int,1,[1-5],Las universidades en México deberían estar más dispuestas a recibir estudiantes extranjeros
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_7,La ciencia tiene una imagen muy negativa para la sociedad,Int,1,[1-5],La ciencia tiene una imagen muy negativa para la sociedad
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_8,"Si una nueva tecnología tiene un riesgo que no se entiende completamente, el desarrollo de esta tecnología debería ser detenido aún cuando ella beneficie a otros",Int,1,[1-5],"Si una nueva tecnología tiene un riesgo que no se entiende completamente, el desarrollo de esta tecnología debería ser detenido aún cuando ella beneficie a otros"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_9,"Si le damos demasiada importancia a los riesgos que no son completamente entendidos, podríamos perder la oportunidad del progreso tecnológico",Int,1,[1-5],"Si le damos demasiada importancia a los riesgos que no son completamente entendidos, podríamos perder la oportunidad del progreso tecnológico"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Voy a nombrar algunos gastos que hace el gobierno, para cada uno de ellos, dígame si cree que se está asignando o invirtiendo muy poco dinero, el monto correcto o demasiado dinero."
